start_day_of_year,end_day_of_year,date_range_label,mean_temp_C
1,5,Jan 01–Jan 05,-3.3
6,10,Jan 06–Jan 10,-3.4
11,15,Jan 11–Jan 15,-3.4
16,20,Jan 16–Jan 20,-2.6
21,25,Jan 21–Jan 25,-2.3
26,30,Jan 26–Jan 30,-2.3
31,35,Jan 31–Feb 04,-2.0
36,40,Feb 05–Feb 09,-1.2
41,45,Feb 10–Feb 14,-1.9
46,50,Feb 15–Feb 19,-0.6
51,55,Feb 20–Feb 24,-0.1
56,60,Feb 25–Mar 01,1.1
61,65,Mar 02–Mar 06,1.4
66,70,Mar 07–Mar 11,2.6
71,75,Mar 12–Mar 16,1.9
76,80,Mar 17–Mar 21,2.7
81,85,Mar 22–Mar 26,3.5
86,90,Mar 27–Mar 31,5.3
91,95,Apr 01–Apr 05,7.2
96,100,Apr 06–Apr 10,7.7
101,105,Apr 11–Apr 15,7.8
106,110,Apr 16–Apr 20,8.7
111,115,Apr 21–Apr 25,9.8
116,120,Apr 26–Apr 30,10.1
121,125,May 01–May 05,10.2
126,130,May 06–May 10,11.8
131,135,May 11–May 15,13.1
136,140,May 16–May 20,13.7
141,145,May 21–May 25,14.4
146,150,May 26–May 30,15.4
151,155,May 31–Jun 04,15.9
156,160,Jun 05–Jun 09,16.7
161,165,Jun 10–Jun 14,17.4
166,170,Jun 15–Jun 19,16.8
171,175,Jun 20–Jun 24,17.1
176,180,Jun 25–Jun 29,17.9
181,185,Jun 30–Jul 04,17.4
186,190,Jul 05–Jul 09,17.8
191,195,Jul 10–Jul 14,18.4
196,200,Jul 15–Jul 19,18.4
201,205,Jul 20–Jul 24,19.4
206,210,Jul 25–Jul 29,19.3
211,215,Jul 30–Aug 03,19.4
216,220,Aug 04–Aug 08,19.3
221,225,Aug 09–Aug 13,18.7
226,230,Aug 14–Aug 18,18.5
231,235,Aug 19–Aug 23,18.3
236,240,Aug 24–Aug 28,17.7
241,245,Aug 29–Sep 02,17.1
246,250,Sep 03–Sep 07,16.4
251,255,Sep 08–Sep 12,16.3
256,260,Sep 13–Sep 17,15.2
261,265,Sep 18–Sep 22,13.6
266,270,Sep 23–Sep 27,13.6
271,275,Sep 28–Oct 02,12.7
276,280,Oct 03–Oct 07,12.8
281,285,Oct 08–Oct 12,11.5
286,290,Oct 13–Oct 17,10.4
291,295,Oct 18–Oct 22,9.5
296,300,Oct 23–Oct 27,8.6
301,305,Oct 28–Nov 01,7.5
306,310,Nov 02–Nov 06,6.2
311,315,Nov 07–Nov 11,4.6
316,320,Nov 12–Nov 16,4.0
321,325,Nov 17–Nov 21,2.8
326,330,Nov 22–Nov 26,1.3
331,335,Nov 27–Dec 01,1.3
336,340,Dec 02–Dec 06,1.3
341,345,Dec 07–Dec 11,-0.9
346,350,Dec 12–Dec 16,-1.3
351,355,Dec 17–Dec 21,-1.1
356,360,Dec 22–Dec 26,-1.8
361,365,Dec 27–Dec 31,-3.0
